Localidades DB,Correspondencia
Lisboa,Lisboa
Algés,Oeiras
Cruz quebrada-dafundo,Oeiras
pontinha,Odivelas
santarém,Santarém
Belas,Sintra
Amadora,Amadora
Póvoa de santa iria,Vila franca de xira
Rio de mouro,sintra
Santo antónio cavaleiros,loures
Loures,loures
Odivelas,odivelas
Camarate,loures
Santa iria de azóia,loures
São joão das lampas,sintra
Sintra,sintra
Mem-martins,sintra
Barcarena,oeiras
Agualva-cacém,sintra
Porto salvo,oeiras
Queluz,sintra
Caxias,oeiras
Estoril,cascais
Carcavelos,cascais
Oeiras,oeiras
São domingos de rana,cascais
Carnaxide,oeiras
Queijas,oeiras
Linda a velha,oeiras
Almada,almada
Caparica,almada
Seixal,seixal
Corroios,seixal
Fernão ferro,seixal
Alto estanqueiro-jardia,montijo
Évora,évora
Funchal,funchal
Casal de cambra,sintra
Alverca do ribatejo,Vila franca de xira
Olival basto,odivelas
Ramada,odivelas
Igreja nova mfr,mafra
Paço de arcos,Oeiras
Parede,cascais
Mem martins,sintra
